Indicator,Reporting status,UN custodian agency,Non-statistical,Show map,Geographical coverage,Units,Graph type
#1-2-1,complete,,,,,units.ratio,bar
#1-4-1,complete,,,,,units.percentage,line
#10-2-1,complete,,,,,units.percentage,bar
#10-2-2,complete,,,,,units.percentage,bar
#10-2-3,complete,,,,,units.total_number,bar
#11-2-1,complete,,,,,units.total_number,bar
#12-5-1,notstarted,,,,,units.total_number,bar
#12-5-2,notstarted,,,,,units.percentage,bar
#12-7-1,notstarted,,,,,units.percentage,bar
#13-3-1,complete,,,,,units.total_number,bar
#13-3-2,complete,,,,,units.total_number,bar
#15-4-1,notstarted,,,,,units.total_number,bar
#16-10-1,notstarted,,,,,units.percentage,bar
#16-6-1,notapplicable,,,,,Not applicable (yearly reporting),bar
#16-7-1,notstarted,,,,,units.total_number,bar
#17-16-1,notstarted,,,,,units.total_number,bar
#17-16-2,notstarted,,,,,units.total_number,bar
#17-16-3,complete,,,,,units.total_number,bar
#17-17-1,notstarted,,,,,units.percentage,bar
#17-17-2,complete,,,,,units.total_number,bar
#2-1-1,complete,,,,,units.total_number,line
#2-2-1,complete,,,,,units.total_number,line
#2-2-2,complete,,,,,units.total_number,line
#2-3-1,complete,,,,,units.total_number,bar
#3-4-1,notstarted,,,,,units.m2,bar
#4-3-1,complete,,,,,units.total_number,line
#4-3-2,complete,,,,,units.total_number,line
#4-4-1,complete,,,,,units.percentage,bar
#4-7-1,complete,,,,,units.likert_scale,bar
#4-7-2,complete,,,,,units.percentage,bar
#4-7-3,complete,,,,,units.total_number,bar
#4-7-4,complete,,,,,units.percentage,bar
#5-1-1,complete,,,,,units.percentage,bar
#5-1-2,complete,,,,,units.percentage,bar
#5-1-3,complete,,,,,units.percentage,bar
#5-1-4,complete,,,,,units.percentage,bar
#5-5-1,complete,,,,,units.percentage,bar
#5-5-2,complete,,,,,units.percentage,bar
#7-2-1,notstarted,,,,,units.kWh_person,bar
#7-3-1,notstarted,,,,,units.kWh_person,bar
#8-5-1,complete,,,,,units.percentage,bar
#8-5-2,complete,,,,,units.percentage,bar
#8-5-3,complete,,,,,units.percentage,bar
#8-5-4,complete,,,,,units.times,bar
#8-8-1,complete,,,,,units.times,bar
#9-5-1,complete,,,,,units.percentage,bar
#9-5-2,complete,,,,,units.total_number,bar
#9-5-3,complete,,,,,units.total_number,bar
